Id,Iq,Vd,Vq,Wm,Output,,,
0,0,0,-339,0,0,,0,healthy
1.31E-10,-0.000200951,0.000441914,-339,-2.61E-09,0,,1,phase A fault
4.72E-09,-0.001205699,0.002651485,-339,-9.41E-08,0,,2,phase A & B fault
1.26E-07,-0.006229308,0.013699338,-338.9999997,-2.51E-06,0,,3,Short Circuit
3.19E-06,-0.031344023,0.06893861,-338.999993,-6.36E-05,0,,4,Open Circuit
7.99E-05,-0.156834396,0.345135468,-338.9998243,-0.001592842,0,,,
0.001993885,-0.782205381,1.726182054,-338.9956051,-0.039767685,0,,,
0.04949344,-3.85694589,8.639137148,-338.8899015,-0.985060019,0,,,
1.057760545,-16.70632348,40.72894221,-336.5444299,-20.21003723,0,,,
7.08943903,-35.81487858,109.5886673,-320.7979489,-113.6617062,0,,,
32.62680312,-47.52613759,248.925936,-230.1236155,-363.8088397,0,,,
72.58221054,-9.507200703,336.5094633,41.01683956,-589.0652145,0,,,
69.47419539,53.41984153,198.2328252,274.99954,-453.2113903,0,,,
46.05673837,84.45923914,38.79435477,336.7729176,-59.38050967,0,,,
45.82873745,83.95860892,1.461684403,338.9968488,453.2147902,0,,,
75.80600802,45.02807255,134.0086584,311.3883098,900.0252006,0,,,
85.3002711,-8.686148964,270.7194398,204.039175,991.9576367,0,,,
69.79729709,-54.21402485,334.6661477,54.03304146,824.5619075,0,,,
53.18191663,-73.67886466,336.6069492,-40.2089758,498.2229941,0,,,
59.53004407,-66.76020895,338.3778515,-20.5287516,24.80972406,0,,,
85.80725795,-9.705662151,287.1936355,180.1133414,-308.7491726,0,,,
74.28528462,50.16443104,123.6596672,315.6410726,-152.8414844,0,,,
58.52653822,68.37429934,29.47469444,337.7162158,285.0989269,0,,,
68.40087248,50.99139327,85.893226,327.9380334,668.0361029,0,,,
81.32649216,5.984907623,227.3796634,251.4348597,857.5884938,0,,,
73.17619017,-40.4413393,321.6728091,106.9934758,736.6314297,0,,,
62.80088113,-59.08408452,338.2413004,22.6676577,447.5578001,0,,,
69.89225889,-50.37185488,335.5475302,48.25821139,52.08475081,0,,,
85.77233827,3.871319064,257.1644588,220.8787929,-171.6963607,0,,,
74.62853603,47.60637795,125.6756783,314.8438087,39.02631852,0,,,
70.27976478,51.49924479,94.79057609,325.4777207,430.6309829,0,,,
80.36748357,22.0717125,185.5253399,283.7275952,699.1401548,0,,,
79.54740527,-25.17273328,298.703913,160.3027521,680.9062142,0,,,
71.7481432,-46.32985566,329.7672134,78.57852741,442.9846454,0,,,
75.47011141,-40.63983538,326.5906796,90.88194524,124.1450316,0,,,
85.77105227,2.813015719,256.1635408,222.0388263,-61.55045442,0,,,
78.48064348,38.64703174,152.3515841,302.836581,122.0985987,0,,,
76.89199133,38.39423458,141.0439788,308.2654636,446.2135552,0,,,
82.94372602,8.965979509,223.7591002,254.6622568,634.2326066,0,,,
79.698564,-26.85360841,302.7211372,152.5808412,552.1880842,0,,,
76.57427547,-37.46211958,320.8375879,109.4725636,317.1283034,0,,,
82.87872425,-20.09872194,298.5283755,160.6294152,71.52772403,0,,,
84.54132945,17.16661503,217.4818781,260.0435208,59.29990039,0,,,
79.54063796,33.61110758,161.6562729,297.9735717,304.2358116,0,,,
82.26850092,19.06694098,198.7250078,274.6440811,518.3954312,0,,,
82.79232059,-13.79105367,278.6055446,193.1319511,539.72252,0,,,
79.74928656,-29.02320804,308.4523367,140.6348321,357.8872523,0,,,
82.90644089,-19.46667014,295.8761012,165.4639922,151.6738255,0,,,
85.19311076,10.41214247,233.2659095,245.9837707,106.6972182,0,,,
81.83710922,26.1485068,184.6415547,284.3035284,298.4136732,0,,,
83.31533415,14.11783147,213.5396763,263.2903467,475.5804277,0,,,
83.26538729,-12.39263997,276.6211776,195.9635785,480.2167612,0,,,
81.7605849,-22.5958411,298.4704577,160.7370085,317.5052344,0,,,
84.4817988,-10.51489112,278.8266018,192.8126711,163.2955528,0,,,
84.721573,13.17035473,224.1805941,254.291292,178.778224,0,,,
83.14224764,18.56116659,204.286851,270.5325904,365.5304388,0,,,
84.21228801,2.822569203,242.8171447,236.5604241,463.4494462,0,,,
83.11126174,-15.28686774,283.825473,185.3755671,393.3292032,0,,,
83.61820908,-14.79051553,285.4517988,182.8613424,248.71048,0,,,
85.28150319,3.171708573,248.6154728,230.4589913,183.5674589,0,,,
83.97979644,15.61542111,214.4817981,262.5234433,291.7234814,0,,,
84.23838792,8.004886336,231.0866904,248.0321381,412.6933838,0,,,
83.9772842,-9.214274692,271.342712,203.2095781,401.5792788,0,,,
83.90849154,-12.47952155,280.3125101,190.6459984,280.7518653,0,,,
85.1640127,-0.065834981,255.3791918,222.9405041,211.6539313,0,,,
84.48770751,11.78190197,224.8111329,253.7340232,282.9621856,0,,,
84.42062371,6.798650263,234.7326091,244.5845503,387.1049411,0,,,
84.25400814,-6.994855632,266.9689139,208.9224712,382.327357,0,,,
84.32506839,-9.218115705,273.6909626,200.0356394,281.5859774,0,,,
85.11279807,1.435040116,251.3470473,227.4767281,235.8573384,0,,,
84.6028624,9.39501956,230.2867302,248.7750428,306.2513696,0,,,
84.58542428,3.207006592,243.7357131,235.6138836,379.0780275,0,,,
84.36648425,-7.082177204,267.8105472,207.8425144,349.3223742,0,,,
84.72811131,-5.31371929,265.6581698,210.5866492,270.1897123,0,,,
85.00418492,4.596143694,243.1452202,236.2232035,265.2433483,0,,,
84.63932634,6.103646676,237.5835209,241.8161917,341.4748849,0,,,
84.59497242,-1.869859091,255.9442073,222.2916165,365.3958434,0,,,
84.56499822,-6.018668012,266.4168808,209.625966,306.6187249,0,,,
84.99013297,-0.014376175,253.9394757,224.5790344,266.8499369,0,,,
84.81374833,5.678382587,239.4605115,239.9576285,308.632807,0,,,
84.69313739,1.277115743,248.8802527,230.1730215,354.7510538,0,,,
84.62791582,-4.690492376,263.1355271,213.7304245,324.3632612,0,,,
84.91128916,-1.346368135,256.6688929,221.4544635,279.2402009,0,,,
84.88441959,4.35056995,242.7827324,236.5957414,303.9262288,0,,,
84.72088738,1.132271562,249.4192634,229.5888304,345.6316898,0,,,
84.68922151,-3.650515695,260.8971264,216.4571307,321.579164,0,,,
84.90514754,-0.643303845,254.9177213,223.4680186,286.0442282,0,,,
84.86913827,3.516672744,244.6093141,234.7068031,311.3534866,0,,,
84.73784226,0.1460556,251.8602371,226.9083977,339.6458587,0,,,
84.76431811,-2.83079707,259.299202,218.3687795,311.2816114,0,,,
84.91838208,0.665278799,251.7666696,227.0122113,291.9417315,0,,,
84.82628804,2.576988866,246.6095202,232.604266,321.1905966,0,,,
84.74609408,-0.928530063,254.5086437,223.9338079,332.4698541,0,,,
84.81696913,-1.750746796,257.0426972,221.0204782,303.6927415,0,,,
84.89808194,1.562013139,249.4829549,229.5196184,300.6431783,0,,,
84.78841416,1.251922551,249.5849811,229.4086686,327.4896759,0,,,
84.76646618,-1.612220735,256.3258779,221.8514014,321.4884831,0,,,
84.86316597,-0.09325509,253.3529299,225.2405223,299.8011459,0,,,
84.84777781,1.811029298,248.5656186,230.5127615,315.3124384,0,,,
84.77356415,-0.501358116,253.6765516,224.8759817,326.1432866,0,,,
84.8367433,-0.93601972,255.145983,223.207364,305.880418,0,,,
84.87233894,1.332093879,249.8477246,229.122488,307.9977822,0,,,
84.78444167,0.259694846,251.9556845,226.8024097,324.7614323,0,,,
84.81155425,-1.114616493,255.4011107,222.9153934,312.4599048,0,,,
84.86657996,0.782917356,251.1718574,227.6701519,306.0531066,0,,,
84.80565322,0.630050956,251.1626082,227.6803555,322.150013,0,,,
84.80686472,-0.949132386,254.947339,223.4342282,315.5983948,0,,,
84.8538766,0.576265497,251.6423425,227.1500197,306.5783674,0,,,
84.81309557,0.662124903,251.1264053,227.7202858,320.661457,0,,,
84.81014981,-0.809597925,254.6230403,223.8037251,315.8039031,0,,,
84.85077897,0.500529118,251.7980323,226.9774239,307.4178525,0,,,
84.81537176,0.59533868,251.2972215,227.5317703,319.91449,0,,,
84.81424113,-0.711248462,254.4099257,224.0459544,315.2392534,0,,,
84.84838808,0.536889213,251.6891564,227.0981474,308.4385536,0,,,
84.81148576,0.428284171,251.6850517,227.1026965,319.902948,0,,,
84.82052152,-0.636316065,254.2709521,224.2036639,313.8744019,0,,,
84.84710361,0.670640117,251.3424808,227.4817736,309.9250705,0,,,
84.79974843,0.104814078,252.4288547,226.2756578,320.1705035,0,,,
84.82971427,-0.501294886,254.0226948,224.4849004,311.4443936,0,,,
84.85039851,0.74440949,251.1311692,227.7150321,311.6134664,0,,,
84.79906933,-0.069109085,252.8379911,225.818401,319.461821,0,,,
84.83540419,-0.30294524,253.5934451,224.969697,310.2721749,0,,,
84.84589149,0.743728414,251.0919704,227.7582543,313.4372409,0,,,
84.80094522,-0.266185538,253.317296,225.2805974,318.2232294,0,,,
84.8404239,0.016402678,252.8809959,225.7702415,309.3430326,0,,,
84.83532285,0.654098077,251.2463852,227.5879037,315.9709768,0,,,
84.81349272,-0.43199646,253.74677,224.7967454,316.0013246,0,,,
84.84012048,0.374325617,252.0369638,226.7120837,309.8232617,0,,,
84.81759052,0.366274982,251.8654332,226.9026302,318.2660096,0,,,
84.82602065,-0.435119283,253.8167888,224.7176845,313.4840052,0,,,
84.84219115,0.614267793,251.4313744,227.3835174,311.6810788,0,,,
84.79963143,-0.0847374,252.8976887,225.7515427,318.6962768,0,,,
84.8364568,-0.200786021,253.3574665,225.2354194,310.4159337,0,,,
84.84257584,0.674254932,251.2360497,227.5993131,314.231126,0,,,
84.8054675,-0.319455983,253.463669,225.1159001,317.1338913,0,,,
84.8394541,0.224434318,252.3945784,226.31389,309.6252198,0,,,
84.82577269,0.492854915,251.5932638,227.2043785,317.3172119,0,,,
84.82215813,-0.426087214,253.7688545,224.7718143,314.546212,0,,,
84.84080032,0.50426146,251.7066366,227.0787728,310.8916604,0,,,
84.80790556,0.107679966,252.4550114,226.2464745,318.6381115,0,,,
